ltable_id,rtable_id,label
2563,6425,0
611,15632,0
631,27684,0
283,25847,0
2076,1563,0
794,20719,0
990,12798,0
1082,25283,1
2455,31743,0
1656,45351,1
558,2895,0
1207,1852,0
171,1241,1
1612,21786,0
2281,2887,0
1399,29840,0
1829,13738,0
1640,11823,0
1342,2113,0
1920,1560,0
1637,1596,0
1326,23335,0
874,24044,0
1842,12676,0
1922,57406,0
280,25877,0
2483,10507,0
1365,18229,0
42,2235,0
659,17331,0
1913,31541,0
1701,26265,0
1407,3251,0
1407,37260,0
1944,26880,0
1152,21028,0
1970,29564,1
2232,16106,0
352,50155,0
176,15535,0
2030,18418,1
713,31328,0
1841,26355,0
2483,14876,0
1965,26315,0
1703,13262,0
1749,14336,0
175,28116,0
2396,17331,0
2497,10451,1
713,19205,0
2538,1869,0
2538,16881,0
1651,18695,1
674,31393,1
270,11014,0
703,47913,0
2538,13096,1
336,31743,0
2539,10256,0
1518,27863,0
809,64166,0
1395,21960,0
151,31322,0
2166,28650,0
936,1410,0
1316,54028,0
19,23531,0
2564,24092,0
555,2561,0
1981,19860,0
329,31216,0
1391,18656,0
184,409,0
1792,29184,0
2113,25084,0
832,2186,0
2538,19045,0
322,18795,0
2314,29635,0
304,17108,1
1342,10867,1
936,19226,0
1662,31411,1
1916,23614,0
1213,20848,0
687,21945,0
1922,29979,0
17,24705,0
1172,2550,0
2301,19610,0
1949,22490,0
2386,13435,1
240,63577,1
2272,45866,0
2101,26860,1
196,26233,0
519,27082,0
1574,32534,0
750,14753,1
1311,25091,1
2298,11707,0
1200,19860,0
2466,52778,0
963,31476,0
212,18640,0
1401,20709,0
239,32031,0
1826,13539,0
2507,12211,0
460,27009,0
1321,16132,1
2560,12731,0
2404,31017,0
1466,17005,0
570,32020,0
277,15576,0
2588,17082,0
1109,24829,0
708,29923,0
368,31181,0
695,60419,1
2564,2245,0
2264,17253,0
1264,25877,0
2355,13877,0
607,1055,1
1698,24132,0
2604,45177,1
611,26178,0
1683,16634,0
1479,15319,0
1630,29036,1
1330,2906,0
2387,21999,0
2588,55852,0
2203,16456,0
993,21949,0
1491,2161,1
713,14737,0
367,31469,0
288,30541,0
2338,16634,0
1863,13660,0
352,17040,1
612,30305,0
1567,22729,1
68,16374,1
1100,18922,1
483,29717,0
2395,26854,0
1055,14,1
271,16392,0
2183,57581,0
2226,14147,0
954,13173,0
707,30919,0
336,18328,0
840,57136,0
2330,1839,0
1840,28876,0
2320,18272,0
1082,28180,0
411,26187,0
1365,20909,0
1327,26844,1
1382,15190,1
998,2988,0
2256,13699,0
1912,25016,1
1439,30264,0
1517,14317,0
1840,29092,0
2457,32041,0
707,30992,0
1700,11246,0
2008,13741,1
1290,13681,0
922,18619,0
112,16346,1
1671,29125,0
274,13907,1
2420,23411,0
277,27634,0
2568,10458,0
1534,21565,1
148,11014,0
2397,20199,1
349,17974,1
1807,22065,0
1747,17986,1
1367,16092,0
1367,1739,0
1468,30713,0
755,23727,0
739,16647,0
1431,15847,0
1912,22010,1
1135,27923,0
677,12067,0
1148,17214,0
1390,22421,0
652,30776,0
1142,1521,1
33,55553,1
1560,21118,0
1840,19923,0
453,28892,0
408,15535,0
2006,15684,0
1545,34956,1
2519,22661,0
1264,293,1
2310,16392,0
1391,13830,0
2203,14618,0
585,28666,0
132,11426,0
2332,21223,0
2455,31381,0
733,19556,0
2255,24003,0
787,22731,0
151,52385,0
66,2845,0
604,16634,0
1989,12370,0
182,4569,0
1307,9939,0
1143,12140,0
408,2961,0
1586,20874,0
405,7720,1
1264,24044,0
497,18140,1
1752,12140,0
973,25761,0
2030,19270,0
1221,22349,0
899,27270,0
1401,33580,0
631,15038,0
2492,1095,0
534,33904,0
646,3207,0
1176,50378,1
119,23195,1
2588,2170,0
2390,22990,1
449,2103,0
1429,56979,0
1571,2832,0
2418,28114,0
1154,18542,1
1302,29529,0
1612,30450,0
1364,17962,0
1105,39128,0
2005,23788,0
408,6003,0
708,26567,0
2310,14618,0
1536,25741,0
161,22806,1
784,54977,1
1826,19055,0
2159,37976,0
1742,11422,0
141,15868,0
1498,23318,1
1712,27639,0
353,2235,0
598,2235,0
1929,26315,0
1829,11056,0
2478,10904,0
2467,21087,0
2050,44563,0
1288,17171,0
2334,14858,1
2214,42348,0
1986,5287,0
1827,31216,0
1829,15400,0
1460,15195,0
772,10970,0
1554,12003,0
1082,19746,0
91,23737,1
926,27289,1
1727,30755,0
1752,26258,0
2498,31381,0
1741,21454,0
1625,16943,0
1082,28746,0
153,25396,0
2248,37076,0
2400,13814,0
39,28613,0
1148,26044,0
1821,15386,0
1659,3152,0
1288,35665,0
150,30415,0
1462,14264,0
883,60017,0
1914,29717,0
2515,34408,0
1811,30026,0
1840,9039,0
1401,20619,0
1059,10805,0
2171,25335,1
1628,28756,1
0,10073,0
783,27639,0
1421,18238,0
1673,21653,0
994,13355,0
493,23657,1
1856,1415,0
2350,27481,0
1213,31232,0
381,23013,1
1391,11384,1
1105,12676,0
2342,17209,0
657,15611,0
1226,2655,1
2422,11382,0
2330,18281,0
1133,20274,0
