ltable_id,rtable_id,label
2563,6425,0
611,15632,0
283,25847,0
2076,1563,0
794,20719,0
990,12798,0
1207,1852,0
171,1241,1
1612,21786,0
1399,29840,0
1829,13738,0
1640,11823,0
1920,1560,0
1637,1596,0
1326,23335,0
874,24044,0
1842,12676,0
280,25877,0
2483,10507,0
1365,18229,0
659,17331,0
1913,31541,0
1944,26880,0
1970,29564,1
2232,16106,0
176,15535,0
2030,18418,1
1841,26355,0
2483,14876,0
1965,26315,0
1703,13262,0
1749,14336,0
175,28116,0
2396,17331,0
2497,10451,1
713,19205,0
2538,1869,0
2538,16881,0
1651,18695,1
270,11014,0
2538,13096,1
336,31743,0
2539,10256,0
1518,27863,0
151,31322,0
936,1410,0
2564,24092,0
1981,19860,0
329,31216,0
1391,18656,0
1792,29184,0
2113,25084,0
2538,19045,0
322,18795,0
304,17108,1
1342,10867,1
936,19226,0
1662,31411,1
1213,20848,0
687,21945,0
1922,29979,0
1172,2550,0
2301,19610,0
1949,22490,0
2386,13435,1
2101,26860,1
196,26233,0
750,14753,1
2298,11707,0
1200,19860,0
963,31476,0
212,18640,0
239,32031,0
1826,13539,0
2507,12211,0
460,27009,0
1321,16132,1
2560,12731,0
1466,17005,0
570,32020,0
277,15576,0
2588,17082,0
2564,2245,0
2264,17253,0
2355,13877,0
607,1055,1
1683,16634,0
1479,15319,0
1630,29036,1
2203,16456,0
713,14737,0
367,31469,0
288,30541,0
2338,16634,0
1863,13660,0
352,17040,1
68,16374,1
1100,18922,1
1055,14,1
271,16392,0
2226,14147,0
954,13173,0
336,18328,0
2330,1839,0
2320,18272,0
1082,28180,0
1327,26844,1
1382,15190,1
2256,13699,0
1439,30264,0
1517,14317,0
707,30992,0
1700,11246,0
2008,13741,1
1290,13681,0
922,18619,0
112,16346,1
274,13907,1
277,27634,0
2568,10458,0
148,11014,0
349,17974,1
1747,17986,1
1367,16092,0
1367,1739,0
1468,30713,0
755,23727,0
739,16647,0
1431,15847,0
1135,27923,0
677,12067,0
1148,17214,0
1390,22421,0
652,30776,0
1142,1521,1
1840,19923,0
408,15535,0
2006,15684,0
1264,293,1
2310,16392,0
1391,13830,0
2203,14618,0
132,11426,0
2332,21223,0
733,19556,0
2255,24003,0
66,2845,0
604,16634,0
1989,12370,0
1143,12140,0
408,2961,0
497,18140,1
1752,12140,0
973,25761,0
2030,19270,0
1221,22349,0
631,15038,0
2492,1095,0
2588,2170,0
1571,2832,0
1154,18542,1
1302,29529,0
1612,30450,0
1364,17962,0
2005,23788,0
2310,14618,0
1826,19055,0
1742,11422,0
141,15868,0
1498,23318,1
1712,27639,0
598,2235,0
1929,26315,0
1829,11056,0
2478,10904,0
1288,17171,0
2334,14858,1
1829,15400,0
1460,15195,0
772,10970,0
1554,12003,0
1082,19746,0
926,27289,1
1752,26258,0
1625,16943,0
1082,28746,0
2400,13814,0
39,28613,0
1821,15386,0
1659,3152,0
1462,14264,0
1059,10805,0
0,10073,0
1421,18238,0
1673,21653,0
994,13355,0
493,23657,1
1856,1415,0
1213,31232,0
1391,11384,1
1105,12676,0
2342,17209,0
657,15611,0
1226,2655,1
2422,11382,0
2330,18281,0
2340,2128,1
1421,26233,0
584,29840,1
452,11678,0
1821,19262,0
1960,11368,0
1543,26863,0
2398,14724,0
1735,15289,1
2440,14618,0
2560,2887,1
1944,20247,0
781,1461,1
801,20029,1
1421,25395,0
1133,31545,0
1105,15876,0
197,10856,0
2400,11699,0
2609,16650,0
33,18241,0
524,31707,0
1105,16892,0
2330,26417,0
2506,22242,0
2538,2127,0
1676,14589,0
1981,14281,0
942,10963,1
601,13281,0
2513,3191,0
758,23822,0
396,19939,0
1269,24021,1
95,24183,0
1671,28422,0
2564,23818,0
2568,11823,0
2491,22340,0
2587,12067,0
1380,13025,0
1481,2604,0
408,14605,0
2538,19704,0
1133,24183,0
791,2569,1
1270,23695,0
474,10690,0
1247,11170,0
1107,16996,1
1082,32041,0
2255,2055,0
2431,25619,0
632,1183,0
1185,17832,0
2392,32091,0
722,27778,0
1392,1832,0
1157,28977,0
1944,16906,0
2467,14998,0
528,15622,0
1954,1903,1
333,16374,0
1774,27401,1
2338,18926,0
1583,1043,0
2588,2961,0
1953,11368,0
1179,29566,0
936,26901,1
1431,31280,0
1840,22490,0
1981,22722,0
658,24437,0
1829,26775,0
1015,13223,0
1316,11775,0
604,12466,0
1254,17625,1
1578,17285,0
2614,24194,1
1233,23180,1
41,11056,0
996,18487,0
570,19923,0
95,20258,1
1912,30105,1
1616,3018,0
2256,17062,0
604,1183,0
1346,27523,0
2128,14556,0
632,15934,0
1829,10241,0
40,16353,0
2107,10139,1
792,17599,1
589,10611,1
1364,13262,0
846,23658,0
1462,21956,0
1111,17855,1
788,28789,1
2300,23774,0
1612,19441,0
2431,2488,0
1968,16881,0
2517,19180,1
525,11260,0
1094,13843,0
1523,12019,0
1761,3132,0
95,17648,0
267,12540,0
1264,18854,0
2510,16807,0
1953,20602,0
2195,10695,0
2396,18168,0
1336,14554,1
1868,13731,0
703,17892,0
1867,18567,0
2101,17005,0
