ltable_id,rtable_id,label
1409,51560,0
2666,35475,1
3332,7412,0
1155,9941,0
3949,38669,0
2477,1222,0
1551,41574,0
1405,55640,0
1545,41588,0
4236,27814,0
1236,50715,0
4823,20588,1
1202,28013,0
210,19800,0
5712,35057,1
303,22290,0
6764,51438,1
1084,9523,0
1828,15256,0
2694,17169,0
2479,33786,1
5001,3099,1
6290,47840,0
801,29543,0
6234,13713,1
3549,19057,0
1625,27515,0
2749,17161,1
5409,20551,0
1262,34894,0
5071,34920,0
317,22283,0
6458,18807,1
5085,40496,0
2742,17206,0
2459,10377,0
1344,10527,0
1159,28024,0
3360,17651,0
1151,53282,1
252,52996,0
1260,34919,0
4980,20081,0
5079,40453,0
2987,37085,0
3093,22994,1
1343,6231,0
6624,800,0
642,24635,1
4730,17350,0
4426,43699,0
5707,37649,0
1447,41580,0
330,22285,0
4047,37547,0
1233,21564,0
205,41179,1
3259,4536,0
1264,28000,0
3944,18970,1
5682,35056,0
3321,34321,0
2729,17190,0
598,43689,1
2680,27453,0
1579,41593,0
1264,28015,0
1266,34905,0
1753,37547,0
3451,7344,0
2020,28341,0
5852,32665,0
1260,54194,0
624,8814,0
3358,39320,1
6314,20460,0
1231,55245,0
1158,21574,0
836,23706,1
5059,34879,0
3327,34307,0
5208,22907,0
3312,34336,0
5082,40476,0
3324,7403,1
2731,17200,0
3372,7437,0
6047,4667,1
1623,27506,0
3255,4532,0
4384,23361,1
3461,7348,0
3887,16397,1
1314,34035,0
4610,26152,1
4058,40164,0
3354,17660,1
1777,20232,1
1736,10938,1
110,53087,1
3449,7363,0
282,52990,0
1735,10926,1
5130,37223,0
3564,19787,0
6724,17069,1
3449,34332,0
5542,10251,1
1285,34041,0
251,52967,1
5030,21803,0
3450,7383,0
1263,28025,0
313,22286,0
1165,27986,0
2022,28244,0
1759,27480,0
1175,34891,0
1784,11758,0
3407,7387,0
1275,28013,0
3864,8306,1
4053,31610,0
2901,21458,1
341,27491,0
2744,17201,0
582,378,1
1279,34874,0
2962,22498,0
6345,18442,0
2862,22966,0
1347,42021,0
1164,9943,0
5207,22901,0
1184,12106,0
3104,22995,1
289,22313,0
3236,5545,0
5518,9828,1
1193,28008,1
5073,34877,0
311,22308,0
325,22311,0
3507,23084,1
1570,27494,0
2375,3581,1
265,52970,0
3308,7387,0
3440,34314,0
1182,34041,0
6314,20455,0
3870,23901,1
1669,52916,0
4326,23361,1
249,53087,1
5695,37659,0
4743,41115,0
498,29283,1
6851,39325,0
5201,22909,0
969,41979,0
6762,51437,0
1685,23820,0
368,19176,0
2979,37085,0
1164,27989,0
3421,34320,1
1069,11277,1
310,22304,0
4587,26140,1
2959,22498,0
2022,28367,0
2301,1238,0
6876,13612,0
3341,7371,0
3409,7357,0
2702,17183,0
1750,54953,0
3264,25857,0
3452,34332,0
