ltable_id,rtable_id,label
1409,51560,0
3332,7412,0
3949,38669,0
2477,1222,0
1405,55640,0
4236,27814,0
4823,20588,1
210,19800,0
303,22290,0
1084,9523,0
1828,15256,0
2694,17169,0
5001,3099,1
801,29543,0
6234,13713,1
3549,19057,0
1625,27515,0
2749,17161,1
5409,20551,0
5071,34920,0
317,22283,0
6458,18807,1
2742,17206,0
2459,10377,0
1344,10527,0
3360,17651,0
252,52996,0
4980,20081,0
2987,37085,0
3093,22994,1
6624,800,0
642,24635,1
4730,17350,0
5707,37649,0
330,22285,0
1233,21564,0
3259,4536,0
3944,18970,1
3321,34321,0
2729,17190,0
2680,27453,0
1264,28015,0
1753,37547,0
2020,28341,0
1260,54194,0
3358,39320,1
6314,20460,0
1158,21574,0
836,23706,1
3327,34307,0
5208,22907,0
5082,40476,0
2731,17200,0
6047,4667,1
1623,27506,0
4384,23361,1
3887,16397,1
4610,26152,1
3354,17660,1
1777,20232,1
1736,10938,1
3449,7363,0
1735,10926,1
3564,19787,0
6724,17069,1
5542,10251,1
251,52967,1
5030,21803,0
1263,28025,0
313,22286,0
2022,28244,0
1759,27480,0
1784,11758,0
1275,28013,0
4053,31610,0
2901,21458,1
341,27491,0
2744,17201,0
1279,34874,0
2962,22498,0
6345,18442,0
2862,22966,0
1164,9943,0
5207,22901,0
1184,12106,0
3104,22995,1
289,22313,0
5518,9828,1
5073,34877,0
311,22308,0
325,22311,0
3507,23084,1
1570,27494,0
265,52970,0
3440,34314,0
6314,20455,0
3870,23901,1
4326,23361,1
5695,37659,0
498,29283,1
5201,22909,0
6762,51437,0
1685,23820,0
368,19176,0
1164,27989,0
1069,11277,1
310,22304,0
4587,26140,1
2959,22498,0
2301,1238,0
6876,13612,0
3409,7357,0
2702,17183,0
3264,25857,0
