"ltable_id","rtable_id",label
1029,5088,1
527,17247,1
1558,14780,1
2586,23661,1
2079,5386,1
543,8019,1
1056,3533,1
554,18854,1
2609,8769,1
2098,20236,1
1076,12368,1
571,14282,1
2109,21949,1
1090,6805,1
2122,12894,1
2130,6665,1
2131,16902,1
601,8265,1
1133,4376,1
1133,24548,1
1149,8168,1
1154,18542,1
1681,28365,1
1681,28733,1
1688,6881,1
671,28313,1
2212,27453,1
1190,28866,1
1702,28510,1
1192,28743,1
2216,28828,1
689,29227,1
2236,21750,1
1214,27357,1
2252,15345,1
204,8178,1
719,6891,1
1235,17151,1
223,27368,1
227,28501,1
2281,28828,1
2289,4723,1
2295,11202,1
251,13922,1
2302,4796,1
768,26448,1
2309,15345,1
777,18744,1
2322,6359,1
1811,1033,1
787,8168,1
306,24422,1
824,1887,1
2370,26879,1
842,29504,1
843,2686,1
843,6386,1
1362,1887,1
1370,6881,1
1371,23513,1
2397,20199,1
1375,6805,1
1376,4501,1
1376,11385,1
870,18744,1
372,1440,1
372,7117,1
387,19557,1
387,21498,1
905,5119,1
1930,28316,1
909,28866,1
1933,4796,1
2445,18542,1
920,16473,1
2456,27453,1
2464,28828,1
1448,12368,1
1448,19209,1
427,8452,1
941,18542,1
2483,4760,1
2483,18281,1
1977,16923,1
1977,20626,1
2495,28743,1
2500,14876,1
453,18765,1
454,15573,1
1479,2187,1
458,2187,1
1995,13,1
1995,8051,1
1491,22490,1
2526,8453,1
993,1302,1
2540,9310,1
1519,17415,1
1534,14197,1
1534,26047,1
0,10247,1
1542,24884,1
528,27630,1
2069,4633,1
537,25824,1
2075,6033,1
1583,6247,1
2113,16129,1
1623,3570,1
1623,5867,1
1144,25092,1
2176,4633,1
2180,9742,1
133,1836,1
1161,22454,1
153,26044,1
153,29756,1
668,14634,1
1693,11161,1
178,29784,1
1715,12628,1
1727,16230,1
706,24305,1
196,22917,1
196,25896,1
2246,5444,1
2246,28530,1
711,9132,1
721,13429,1
1747,23495,1
739,24483,1
741,19389,1
1765,24185,1
2286,591,1
2286,11963,1
249,13127,1
1788,4540,1
1794,22136,1
1801,24185,1
1296,21300,1
283,6868,1
1310,23998,1
2336,27630,1
801,20029,1
2337,3473,1
291,4298,1
291,18318,1
291,23243,1
805,7363,1
805,27702,1
2340,2128,1
2344,15316,1
298,13440,1
2347,12628,1
1328,28765,1
2373,9959,1
1871,14016,1
1871,20025,1
2395,26463,1
860,17187,1
364,18054,1
1901,14605,1
2412,12765,1
377,22360,1
377,27297,1
380,29282,1
901,21155,1
1936,15311,1
1429,22917,1
406,17124,1
406,21327,1
406,24415,1
1947,9742,1
2461,2995,1
2465,6412,1
2468,22289,1
2475,7522,1
1970,29564,1
950,21155,1
950,25824,1
1975,23672,1
1981,18476,1
447,7552,1
971,16714,1
971,17079,1
2001,18054,1
1492,22917,1
2013,5521,1
1005,2004,1
2034,10258,1
2555,11819,1
2563,21082,1
2564,7529,1
4,4991,1
521,14632,1
521,25737,1
1043,7198,1
533,22130,1
539,6512,1
1053,21004,1
1055,14,1
2080,25394,1
547,20149,1
2600,4303,1
2604,5398,1
556,13359,1
556,23955,1
2097,7237,1
2611,15730,1
2099,16192,1
