ltable_id,rtable_id,label
1,5787,1
2049,7246,1
2049,20941,1
1029,5088,1
8,16621,1
10,26207,1
16,8809,1
2578,5787,1
543,8019,1
1067,11407,1
2608,28440,1
1078,13443,1
2615,1283,1
59,16923,1
60,5140,1
2109,21949,1
71,20209,1
2122,12894,1
2130,6665,1
1618,7492,1
598,4206,1
87,2773,1
601,8265,1
94,27593,1
96,4594,1
1644,19778,1
628,9804,1
1139,16087,1
121,17433,1
1659,7218,1
1659,11170,1
2177,28067,1
661,15065,1
1691,10293,1
1691,24972,1
163,12570,1
2216,28828,1
176,29128,1
689,29227,1
1211,19778,1
702,7219,1
197,22909,1
1228,17433,1
218,22805,1
1757,15566,1
2281,28828,1
748,2050,1
1786,256,1
765,3412,1
767,2799,1
2310,25211,1
267,4206,1
786,9358,1
1301,15253,1
1824,17031,1
306,24422,1
823,6527,1
1341,31146,1
834,3412,1
840,3822,1
1371,22442,1
352,17040,1
353,9804,1
360,10265,1
365,19738,1
1392,13515,1
1395,21794,1
886,2799,1
2423,18275,1
2422,18275,1
393,4206,1
1930,8265,1
403,2398,1
915,13443,1
2464,28828,1
425,4206,1
428,166,1
1972,1580,1
1464,19269,1
1977,16923,1
966,9358,1
988,3052,1
477,9804,1
483,9804,1
1000,17571,1
1019,10378,1
2053,2517,1
2058,31220,1
528,27082,1
533,22130,1
2586,23661,1
1051,6830,1
2075,6033,1
1057,21049,1
2607,6440,1
2098,20236,1
564,12864,1
566,11154,1
566,22434,1
2107,10139,1
2136,27582,1
1662,31411,1
2174,14995,1
2176,4633,1
1161,22454,1
1181,11058,1
2206,2517,1
1183,29470,1
1188,12240,1
177,31773,1
178,23243,1
182,6830,1
184,10507,1
697,162,1
2233,25173,1
1212,18328,1
1212,27781,1
706,24305,1
196,2606,1
2246,5444,1
2246,28530,1
711,9132,1
1226,2655,1
1226,6692,1
208,20043,1
727,11932,1
730,27013,1
1253,25522,1
754,31572,1
2292,2345,1
2293,7597,1
251,30594,1
1802,28547,1
269,24369,1
1305,27582,1
1307,4810,1
1310,7086,1
801,20029,1
2337,3473,1
291,30287,1
1317,4701,1
805,7363,1
1328,28765,1
2373,4821,1
1871,14016,1
357,3682,1
1382,15190,1
1382,22434,1
1399,9741,1
395,27129,1
1423,15350,1
1936,10632,1
1936,15311,1
1429,22917,1
1943,31572,1
2461,2995,1
430,16666,1
430,27129,1
1975,23672,1
2489,12240,1
2490,11134,1
2493,24897,1
447,7552,1
2498,3228,1
453,18765,1
2002,12256,1
2008,9829,1
475,17718,1
475,20578,1
1498,8893,1
1498,16948,1
1498,17510,1
2014,2655,1
2018,32047,1
2034,10258,1
1013,17239,1
504,29640,1
1542,18107,1
1548,9837,1
14,14191,1
2590,6664,1
2080,25394,1
1059,18709,1
2610,14191,1
2104,3553,1
1593,4338,1
590,18279,1
1105,22885,1
85,21842,1
92,14191,1
606,14191,1
98,31621,1
616,16337,1
1640,23976,1
1131,9951,1
619,18709,1
2157,6998,1
2157,12182,1
119,23195,1
122,14191,1
636,9837,1
1149,8168,1
637,14191,1
1154,18542,1
2193,11081,1
1682,11053,1
148,14191,1
1688,6881,1
1702,28510,1
1703,19060,1
688,21830,1
1717,24144,1
2242,12182,1
2247,29526,1
199,10638,1
1227,24211,1
719,6891,1
224,14191,1
1765,24185,1
2279,23749,1
753,24296,1
1268,22587,1
1784,11843,1
252,14191,1
1794,22136,1
1801,24185,1
777,30928,1
780,23137,1
268,27634,1
270,14191,1
787,8168,1
277,16366,1
277,32041,1
1817,27315,1
793,4311,1
2332,5659,1
2332,8468,1
288,6551,1
289,1260,1
802,8446,1
303,14191,1
827,19614,1
1864,14191,1
342,14191,1
1370,6881,1
1885,20292,1
354,31370,1
870,18744,1
1894,9837,1
366,29526,1
373,14191,1
1402,12673,1
1411,4311,1
903,25436,1
398,14191,1
1935,14191,1
920,31057,1
2457,16366,1
1438,1796,1
1439,6262,1
1439,14454,1
418,14191,1
1955,14191,1
1466,10576,1
1981,18476,1
1485,31277,1
2012,27010,1
2524,18563,1
479,14191,1
2021,27550,1
1008,6080,1
497,18140,1
1529,27863,1
507,14191,1
2046,7071,1
512,11042,1
513,21851,1
1540,13943,1
1554,26143,1
31,28931,1
1582,13943,1
570,15455,1
1123,16841,1
613,1818,1
101,21928,1
2155,31430,1
1646,30169,1
1651,4024,1
1148,13121,1
1152,2065,1
1665,11275,1
1665,21236,1
137,24673,1
656,1408,1
144,4143,1
1681,28365,1
1681,28733,1
1683,8054,1
160,28791,1
2214,1563,1
1711,4604,1
1214,27357,1
1732,22911,1
1222,17149,1
716,23207,1
2252,15345,1
1235,17151,1
2263,7093,1
1754,24271,1
744,26006,1
1259,26088,1
1773,1794,1
1773,22911,1
756,12804,1
2294,29326,1
2301,10631,1
1277,3459,1
768,26448,1
2309,15345,1
1287,26023,1
2312,4305,1
276,5494,1
1815,10125,1
1815,13394,1
279,11308,1
1825,20916,1
1825,25352,1
1316,9895,1
1318,22832,1
1329,9911,1
1354,6969,1
1356,19813,1
1356,20027,1
857,26966,1
1373,9164,1
1373,11648,1
1376,11385,1
1386,29479,1
2411,3595,1
1902,26045,1
1903,18266,1
2439,30401,1
2460,16931,1
2462,26088,1
929,6430,1
1965,9267,1
1456,19556,1
1982,7390,1
1982,10337,1
1474,5717,1
1476,7222,1
451,27661,1
1479,2187,1
1489,10778,1
2514,26672,1
1491,22490,1
1507,29507,1
490,27018,1
1017,8339,1
2048,31299,1
2565,7729,1
529,30150,1
2072,17320,1
537,25824,1
1048,16762,1
1048,17313,1
539,6512,1
548,20778,1
1572,13475,1
2600,4303,1
1583,26463,1
2097,7237,1
2099,30372,1
1076,6667,1
1603,26806,1
1623,13440,1
2150,14,1
2150,27470,1
1645,2577,1
1133,15801,1
124,7424,1
657,22340,1
1172,28982,1
679,11778,1
1192,28743,1
1194,28982,1
2231,11766,1
2231,22732,1
2232,5194,1
1727,16230,1
2243,18680,1
201,5335,1
207,6853,1
2261,10803,1
732,10963,1
732,13830,1
2274,22010,1
2274,30105,1
229,21985,1
746,30817,1
1270,2616,1
762,10913,1
1788,4540,1
2304,3280,1
1285,1698,1
1818,7386,1
2336,31706,1
2340,2128,1
1828,29277,1
298,13440,1
2351,31372,1
2353,920,1
820,9595,1
2365,8255,1
2366,20583,1
2374,10586,1
2374,29277,1
334,17280,1
1358,31519,1
341,16687,1
2393,25538,1
2395,26463,1
2412,2049,1
1391,11384,1
2418,9846,1
2420,19019,1
381,23013,1
1918,17229,1
901,21155,1
394,6480,1
2448,5615,1
2469,30817,1
935,2308,1
424,5194,1
1448,12368,1
942,10963,1
942,13830,1
943,11389,1
433,17320,1
1970,29564,1
1459,28685,1
2482,1698,1
950,31237,1
1462,19707,1
1470,6469,1
2495,28743,1
964,6519,1
964,28569,1
975,22340,1
2001,18054,1
2005,27470,1
2006,799,1
2013,591,1
2013,7499,1
2022,18326,1
1005,2004,1
1525,26333,1
2554,8830,1
2556,17154,1
1023,22731,1
1027,18388,1
1033,364,1
11,14357,1
11,15678,1
2063,21862,1
1043,7198,1
2584,2266,1
1561,4606,1
1052,6258,1
1052,12986,1
1053,21004,1
2041,13332,1
29,23471,1
1573,26908,1
1577,22984,1
2602,350,1
556,28848,1
2115,26796,1
1099,22216,1
1622,16547,1
2134,7033,1
1630,29036,1
2142,28434,1
1636,11068,1
1129,12119,1
1643,30360,1
624,25736,1
2162,31093,1
626,26796,1
1143,18116,1
632,2892,1
632,31478,1
2175,9229,1
1671,7789,1
653,14957,1
1168,17435,1
665,21283,1
1182,30399,1
674,31393,1
171,1241,1
2221,5110,1
1722,18409,1
1722,29255,1
1723,24184,1
2241,27624,1
1740,5315,1
2256,22756,1
210,5032,1
225,21862,1
2277,28690,1
1272,18388,1
1272,28434,1
766,2168,1
259,1249,1
259,3744,1
778,14931,1
1291,15447,1
1299,3011,1
1826,13482,1
1826,30836,1
1315,13947,1
2339,22852,1
806,12503,1
2358,12684,1
2367,26184,1
1346,19768,1
1351,25888,1
1873,14270,1
2388,24302,1
2404,11068,1
2405,17782,1
2415,14123,1
372,7117,1
2424,26785,1
379,23228,1
384,264,1
2433,27822,1
1412,11362,1
2442,21004,1
409,10016,1
924,6775,1
1440,5103,1
1441,16386,1
939,19697,1
1460,18434,1
1468,2324,1
446,1249,1
1477,28958,1
1481,11043,1
2513,61,1
1493,14123,1
471,7198,1
1506,30360,1
2534,9400,1
1524,5896,1
1524,10682,1
2553,17905,1
1531,23070,1
1026,11638,1
2,21187,1
2564,7529,1
1543,25994,1
1034,18404,1
1546,13481,1
523,2432,1
1551,13263,1
2079,5386,1
2604,5398,1
44,21422,1
2611,15730,1
2102,720,1
2105,7265,1
1605,27703,1
583,13320,1
1610,21763,1
594,31841,1
1626,14400,1
1631,5481,1
97,13730,1
1121,20985,1
615,2629,1
110,493,1
125,16604,1
1150,15730,1
640,23620,1
641,5712,1
134,5114,1
2187,28005,1
142,372,1
149,15162,1
1177,24429,1
2219,8466,1
1198,19031,1
687,14239,1
713,2073,1
717,2350,1
1236,2413,1
1243,29818,1
220,6363,1
1759,483,1
226,7934,1
233,9053,1
2284,30790,1
1264,3916,1
2291,493,1
1780,8226,1
257,22575,1
1283,26280,1
1283,30066,1
2335,21491,1
800,5712,1
1314,21491,1
2348,25910,1
2349,17292,1
824,1887,1
1857,19488,1
1362,1887,1
351,24352,1
1385,29658,1
2419,1860,1
1917,13602,1
385,26759,1
1419,1184,1
1419,12780,1
908,13431,1
399,25084,1
912,9669,1
916,3029,1
2463,8466,1
931,7461,1
423,18362,1
947,10794,1
2487,27703,1
448,28005,1
450,28005,1
2504,7934,1
461,6044,1
974,5712,1
478,30803,1
991,24429,1
991,28184,1
995,24050,1
485,22699,1
1515,23709,1
491,15443,1
1006,8031,1
1006,12634,1
2032,29658,1
1526,28546,1
2559,27362,1
1538,20322,1
1539,7654,1
532,6351,1
1562,28232,1
541,7797,1
32,3750,1
2084,12366,1
550,9561,1
2096,29299,1
1073,20073,1
2614,15513,1
1592,12366,1
1595,29811,1
67,20322,1
1094,23141,1
78,4623,1
2139,31209,1
91,15971,1
2143,15971,1
1135,28892,1
1663,22766,1
136,20254,1
669,20240,1
1190,28866,1
1705,27283,1
2218,14364,1
690,23250,1
2234,7797,1
187,11082,1
705,13715,1
216,14534,1
219,4623,1
219,11082,1
1247,9214,1
2282,20363,1
759,7951,1
1787,7491,1
1808,27283,1
2322,6359,1
1811,1033,1
788,28789,1
788,30456,1
1302,2013,1
280,4370,1
1298,3136,1
2333,28689,1
1822,30326,1
803,17201,1
803,23930,1
1347,11985,1
1350,26155,1
842,7509,1
1867,27844,1
2379,17780,1
1357,28914,1
1363,4071,1
340,14364,1
340,28914,1
2401,22766,1
1893,4623,1
1893,11082,1
370,13160,1
388,28914,1
909,28866,1
1426,11975,1
1946,7654,1
2479,30326,1
436,11082,1
1991,13078,1
455,9079,1
455,11543,1
1480,25876,1
976,31754,1
2515,13611,1
982,20322,1
1505,10988,1
1509,24890,1
487,11329,1
2028,4262,1
2560,8806,1
1536,20480,1
1056,3533,1
2083,7807,1
37,11908,1
554,27110,1
2100,16522,1
571,14282,1
1608,6235,1
2121,16718,1
2125,26483,1
1617,9657,1
1619,13877,1
1620,5651,1
1629,31147,1
93,7274,1
608,28961,1
1639,7206,1
1134,16,1
112,13871,1
112,16346,1
113,16964,1
1669,12676,1
651,2512,1
651,12491,1
1687,23813,1
672,3158,1
161,22806,1
676,30721,1
1201,22174,1
1719,4121,1
2237,3271,1
1743,3762,1
723,14212,1
729,28509,1
2267,18319,1
1250,13816,1
1254,20320,1
2289,4723,1
2290,18400,1
2317,11009,1
2327,18320,1
282,22952,1
797,6054,1
797,7151,1
813,30721,1
1334,10773,1
2370,26879,1
323,20420,1
1865,12319,1
841,20453,1
1355,10606,1
2381,10145,1
2397,20199,1
1375,6805,1
358,5562,1
367,21336,1
1397,13183,1
897,19938,1
1921,2179,1
1416,24558,1
2475,7522,1
431,742,1
2485,17274,1
1463,31661,1
1467,11537,1
2497,10451,1
2501,12710,1
2506,13968,1
1995,8051,1
971,11886,1
971,16714,1
970,31678,1
996,14659,1
486,9139,1
1512,2830,1
1512,10635,1
1516,11847,1
2029,17066,1
1519,17415,1
2545,4718,1
2546,7534,1
2036,21017,1
2549,21744,1
502,23586,1
2039,18616,1
2552,9014,1
517,1111,1
1549,18119,1
2587,8003,1
2597,5579,1
2601,18153,1
1590,3192,1
2103,21061,1
578,1486,1
2114,4843,1
1613,20684,1
2133,17092,1
1117,11131,1
607,1055,1
1120,5095,1
105,12206,1
1658,25007,1
634,2319,1
634,21552,1
1147,31480,1
2170,31654,1
126,29469,1
639,31456,1
2189,97,1
151,8467,1
167,1055,1
684,18119,1
1199,102,1
1715,12628,1
703,12263,1
710,16155,1
1741,31493,1
1742,17546,1
1240,31286,1
2271,22134,1
1248,6819,1
1763,12739,1
1767,25395,1
1769,4321,1
747,8134,1
750,14753,1
1774,31872,1
761,22910,1
1276,21253,1
1795,16330,1
1796,12831,1
1288,14999,1
1294,2329,1
1810,28557,1
1308,10146,1
2334,14858,1
1311,20446,1
1832,27050,1
2347,5776,1
2359,4493,1
1849,19456,1
2362,12060,1
328,13872,1
333,2587,1
1372,22503,1
866,2667,1
1384,30340,1
1393,23785,1
2421,26315,1
1407,24023,1
1410,17345,1
1923,26653,1
899,20194,1
902,19657,1
2437,6958,1
1932,29274,1
397,2300,1
1963,26608,1
940,16731,1
1478,6647,1
1478,15095,1
1990,12267,1
968,2891,1
979,10753,1
981,21107,1
2519,25395,1
1497,18095,1
1503,20684,1
992,14749,1
2019,29814,1
488,12481,1
2542,3192,1
1521,24786,1
1010,30736,1
2563,17380,1
516,31257,1
5,12443,1
2571,9711,1
2061,15388,1
2577,21929,1
1555,16585,1
25,16350,1
2593,12897,1
547,20149,1
1574,27843,1
39,5487,1
39,9880,1
1068,1268,1
557,30190,1
563,18926,1
75,17864,1
75,20056,1
1104,25750,1
597,25820,1
611,31398,1
99,1097,1
107,29313,1
2169,6742,1
127,22178,1
1156,15938,1
648,21696,1
141,14825,1
143,24182,1
1167,27081,1
146,29848,1
2203,8195,1
1180,18705,1
157,16264,1
1694,20944,1
2204,25042,1
2207,24209,1
2224,31793,1
691,12341,1
190,17458,1
2240,23040,1
1225,12196,1
714,31257,1
1738,7894,1
1751,8952,1
1241,4716,1
221,1129,1
1255,13193,1
234,25308,1
237,20458,1
247,25,1
1797,22178,1
263,2657,1
265,30002,1
779,2325,1
782,9331,1
783,16258,1
2321,28177,1
795,4914,1
1312,5795,1
810,31309,1
1842,7560,1
315,23689,1
1343,30764,1
1352,31635,1
1875,7025,1
2390,22990,1
864,26115,1
355,26734,1
1383,16205,1
873,21816,1
874,5265,1
1394,28709,1
1908,30002,1
1909,11956,1
1913,16369,1
895,31188,1
2438,1467,1
1938,26578,1
1432,23262,1
416,24209,1
936,26901,1
434,21437,1
