"ltable_id","rtable_id",label
771,831,1
517,405,1
518,991,1
646,1033,1
527,738,1
793,130,1
1052,1074,1
413,951,1
542,806,1
924,959,1
417,166,1
805,470,1
806,421,1
807,442,1
811,904,1
812,903,1
177,167,1
184,275,1
828,950,1
575,585,1
319,1025,1
835,951,1
836,1035,1
713,699,1
203,167,1
715,692,1
78,80,1
590,692,1
593,615,1
978,1049,1
473,742,1
862,1025,1
225,445,1
612,616,1
103,405,1
750,828,1
241,414,1
251,415,1
636,734,1
253,459,1
766,405,1
649,714,1
650,728,1
524,512,1
1044,915,1
666,731,1
803,694,1
804,696,1
560,512,1
566,647,1
567,657,1
568,666,1
569,646,1
570,649,1
572,658,1
829,920,1
579,693,1
580,680,1
581,675,1
582,668,1
583,660,1
584,651,1
710,746,1
460,575,1
847,999,1
849,970,1
721,894,1
853,971,1
725,687,1
601,836,1
986,916,1
858,1026,1
990,575,1
608,686,1
609,698,1
611,695,1
617,697,1
618,719,1
620,667,1
877,988,1
496,563,1
498,556,1
502,553,1
635,663,1
1017,1043,1
258,206,1
394,848,1
655,504,1
401,242,1
275,867,1
21,196,1
406,487,1
150,208,1
1051,298,1
668,748,1
283,532,1
1055,1087,1
929,977,1
930,987,1
931,1031,1
933,1032,1
934,1029,1
935,990,1
161,237,1
425,464,1
936,681,1
303,498,1
50,55,1
311,474,1
312,388,1
313,739,1
827,5,1
573,710,1
974,1080,1
975,976,1
976,975,1
980,1037,1
981,1067,1
982,1052,1
854,369,1
860,857,1
861,857,1
863,503,1
864,430,1
995,1019,1
869,859,1
616,486,1
369,464,1
1016,969,1
378,533,1
1,154,1
898,1065,1
4,153,1
791,292,1
281,280,1
154,240,1
928,940,1
674,983,1
675,834,1
680,840,1
47,79,1
944,954,1
945,955,1
48,63,1
175,183,1
695,744,1
707,841,1
324,567,1
709,891,1
195,283,1
201,279,1
591,690,1
592,691,1
465,602,1
723,895,1
467,603,1
85,155,1
468,604,1
983,941,1
602,1020,1
991,601,1
992,953,1
736,885,1
613,729,1
744,899,1
879,1076,1
881,1077,1
626,472,1
627,472,1
628,473,1
119,120,1
767,805,1
256,300,1
662,621,1
390,393,1
777,883,1
146,140,1
147,514,1
152,176,1
538,1027,1
284,121,1
427,460,1
830,519,1
191,138,1
