ltable_id,rtable_id,label
4,4991,1
10,26207,1
12,27639,1
2578,5787,1
21,6703,1
2586,23661,1
543,8019,1
1056,3533,1
546,3345,1
2085,593,1
2598,6703,1
554,18854,1
2609,8769,1
58,17886,1
571,14282,1
2109,21949,1
63,6703,1
69,7822,1
69,12154,1
1609,7292,1
2122,12894,1
2130,6665,1
118,6703,1
1659,11170,1
123,13593,1
1662,31411,1
643,13322,1
645,31806,1
2188,14775,1
1192,28743,1
2216,28828,1
689,29227,1
702,7219,1
202,6703,1
2252,15345,1
215,5950,1
217,15443,1
1243,8769,1
1245,2187,1
1245,15345,1
2281,28828,1
1776,6805,1
1776,18854,1
1776,31902,1
2289,4723,1
757,10999,1
2309,15345,1
777,30928,1
269,24369,1
1811,1033,1
802,6614,1
306,24422,1
841,16388,1
841,20453,1
842,7509,1
842,19343,1
1877,6703,1
1371,23513,1
2397,20199,1
1375,6805,1
1382,15190,1
870,18744,1
372,1440,1
387,3533,1
1422,13322,1
919,24285,1
2464,28828,1
428,166,1
944,16179,1
1980,6703,1
2495,28743,1
1989,13754,1
1989,14775,1
1989,18894,1
966,9358,1
1479,2187,1
458,2187,1
458,6275,1
1498,3339,1
993,1302,1
1507,29507,1
491,15443,1
1519,17415,1
2031,27539,1
498,16262,1
1541,10645,1
526,28751,1
19,2730,1
19,20501,1
533,22130,1
2069,4633,1
1051,6830,1
539,6512,1
2084,12366,1
2600,4303,1
1535,10035,1
2096,23081,1
2099,30372,1
1592,9417,1
1084,10906,1
1101,22130,1
1106,38,1
600,12167,1
95,7781,1
95,8868,1
95,26863,1
1121,20985,1
1121,27395,1
101,21928,1
1131,9951,1
2166,25417,1
142,372,1
656,1408,1
2209,18991,1
1188,12240,1
2215,23081,1
679,6335,1
2219,8466,1
182,23224,1
695,25475,1
2239,16874,1
1733,1408,1
713,2073,1
716,23207,1
1238,9809,1
727,13428,1
2282,23081,1
1783,13205,1
1793,27387,1
2307,8142,1
1798,20350,1
1798,28337,1
778,14931,1
1294,2329,1
781,1461,1
280,4370,1
1307,4810,1
1822,31372,1
2335,21491,1
2337,10481,1
1314,21491,1
2351,31372,1
311,21298,1
2365,8255,1
323,20420,1
331,28177,1
859,26191,1
2409,1408,1
2448,5615,1
2457,16366,1
1434,1408,1
1439,20602,1
2463,9169,1
948,3696,1
2489,12240,1
2497,10451,1
2508,8408,1
2508,17305,1
1489,10778,1
2514,26672,1
1513,27387,1
2028,23081,1
493,23657,1
2541,22397,1
1521,24786,1
1013,17239,1
504,29640,1
1017,8339,1
2559,27362,1
2051,2696,1
1030,27870,1
1031,24384,1
1551,13263,1
535,16218,1
1048,17313,1
1561,4606,1
1053,21004,1
550,9561,1
1064,16755,1
1064,19507,1
574,7945,1
1618,7492,1
1623,13440,1
1630,29036,1
1658,25007,1
1665,3418,1
1665,11275,1
1671,7789,1
1671,28422,1
1673,1605,1
668,6412,1
2218,14364,1
1708,16057,1
690,23250,1
