"ltable_id","rtable_id",label
129,67,1
514,196,1
514,199,1
514,200,1
515,199,1
393,149,1
143,289,1
424,71,1
427,138,1
428,137,1
438,288,1
67,285,1
70,288,1
71,289,1
72,290,1
329,110,1
476,204,1
13,231,1
62,280,1
104,322,1
399,142,1
22,240,1
23,241,1
27,245,1
174,160,1
66,284,1
89,307,1
90,308,1
91,309,1
107,325,1
417,180,1
422,295,1
49,267,1
76,294,1
77,295,1
78,296,1
233,267,1
105,323,1
123,166,1
133,232,1
5,223,1
136,232,1
138,223,1
14,232,1
26,244,1
36,254,1
295,11,1
53,271,1
464,78,1
106,324,1
372,182,1
4,222,1
16,234,1
17,235,1
282,222,1
421,174,1
307,120,1
218,57,1
224,40,1
249,207,1
122,46,1
3,221,1
29,247,1
159,221,1
58,276,1
74,292,1
459,319,1
81,299,1
82,300,1
88,306,1
96,314,1
101,319,1
130,238,1
11,229,1
20,238,1
28,246,1
33,251,1
35,253,1
40,258,1
42,260,1
57,275,1
63,281,1
65,283,1
231,99,1
110,328,1
257,102,1
140,59,1
274,104,1
151,45,1
24,242,1
153,49,1
41,259,1
338,59,1
485,102,1
103,321,1
511,76,1
388,302,1
406,302,1
25,243,1
410,154,1
439,19,1
64,282,1
197,10,1
205,243,1
334,56,1
84,302,1
86,304,1
360,20,1
366,243,1
379,156,1
31,249,1
38,256,1
51,269,1
247,318,1
100,318,1
256,77,1
9,227,1
142,237,1
15,233,1
19,237,1
30,248,1
162,4,1
52,270,1
61,279,1
214,237,1
346,89,1
120,4,1
416,148,1
39,257,1
55,273,1
326,145,1
458,145,1
95,313,1
356,257,1
507,206,1
132,239,1
8,226,1
396,54,1
147,116,1
21,239,1
154,47,1
290,209,1
45,263,1
47,265,1
102,320,1
487,215,1
487,320,1
242,101,1
497,320,1
0,218,1
69,287,1
344,106,1
98,316,1
109,327,1
7,225,1
434,165,1
50,268,1
54,272,1
56,274,1
73,291,1
204,127,1
467,82,1
339,66,1
97,315,1
238,93,1
373,268,1
502,0,1
404,183,1
34,252,1
44,262,1
46,264,1
75,293,1
85,303,1
92,310,1
2,220,1
10,228,1
398,152,1
532,329,1
32,250,1
37,255,1
43,261,1
59,277,1
60,278,1
87,305,1
111,329,1
1,219,1
18,236,1
79,297,1
80,298,1
83,301,1
93,311,1
108,326,1
6,224,1
12,230,1
301,208,1
48,266,1
68,286,1
94,312,1
99,317,1
127,190,1
