"ltable_id","rtable_id",label
528,21347,1
20,16837,1
1561,21846,1
1053,3990,1
1053,20825,1
2077,11552,1
560,8136,1
572,4643,1
1108,10672,1
1636,4639,1
2149,4784,1
2149,10785,1
1650,2050,1
1145,4787,1
122,1749,1
2180,2070,1
2180,16172,1
1684,17948,1
1173,7215,1
1685,3437,1
1179,8242,1
1695,17274,1
1697,21667,1
1187,1629,1
1699,17103,1
1701,18549,1
169,3969,1
169,6003,1
1706,17026,1
1707,20080,1
1708,16226,1
1195,5364,1
688,3316,1
691,17289,1
2229,8835,1
1719,15203,1
1206,6003,1
1723,17765,1
1723,17766,1
2246,21190,1
1738,20132,1
213,20018,1
1241,17234,1
746,2741,1
2284,863,1
754,4102,1
1281,16682,1
2309,20862,1
1285,14281,1
1799,297,1
781,17483,1
782,5390,1
1806,7161,1
1810,6172,1
2327,8544,1
1817,18425,1
1306,16837,1
1308,16540,1
2343,10785,1
2359,22047,1
1338,17543,1
333,3710,1
2388,18425,1
361,110,1
878,9557,1
879,20131,1
884,17167,1
391,7162,1
2441,11606,1
1942,1587,1
407,13781,1
926,4426,1
929,3990,1
1453,7898,1
1453,15106,1
1456,18231,1
2481,6885,1
1465,21941,1
1992,1274,1
1999,20189,1
1496,16180,1
474,18529,1
988,17345,1
990,18425,1
991,12312,1
2018,5207,1
1527,10983,1
1016,17939,1
1016,18187,1
1333,11421,1
531,19817,1
22,17882,1
23,16644,1
1569,21393,1
546,20551,1
47,11668,1
1601,20217,1
1602,19807,1
67,14615,1
1611,10670,1
1611,20417,1
2128,16274,1
2128,18103,1
88,18980,1
1117,16741,1
1128,17306,1
1128,19199,1
116,2219,1
629,2739,1
1657,16332,1
636,9151,1
1148,16756,1
1162,17390,1
1170,6670,1
2202,20276,1
2202,21638,1
157,16205,1
2207,1774,1
2207,5711,1
2210,16560,1
2211,4646,1
2212,21840,1
1704,2740,1
2218,9579,1
684,17573,1
175,5431,1
1201,2939,1
1720,20522,1
2234,3830,1
1724,21393,1
1726,18463,1
194,6876,1
