"ltable_id","rtable_id",label
2051,16599,1
517,4079,1
517,7407,1
2058,3490,1
527,485,1
527,4361,1
22,15108,1
2072,4159,1
1562,12169,1
1569,21393,1
2087,11143,1
47,19978,1
2103,2963,1
567,12173,1
584,965,1
1102,7853,1
1620,558,1
88,18980,1
1117,16741,1
629,2739,1
636,9151,1
1162,16809,1
1162,16958,1
1170,10163,1
2202,6079,1
157,16205,1
1695,17274,1
2207,1774,1
1697,16578,1
1697,21667,1
1699,17103,1
1701,18549,1
1195,5364,1
1708,16226,1
182,7399,1
194,6876,1
1732,5720,1
711,7671,1
2252,16783,1
716,5898,1
2259,14834,1
227,11814,1
1773,21638,1
1782,10194,1
250,13869,1
255,11302,1
1793,7712,1
1804,14112,1
781,17483,1
2323,16809,1
277,15099,1
1814,4167,1
1823,20095,1
1830,7234,1
1835,10229,1
2351,10110,1
304,19884,1
1845,185,1
1848,3523,1
1848,7504,1
1849,15085,1
826,16007,1
315,7705,1
833,18899,1
2385,4446,1
339,13560,1
339,21488,1
340,18622,1
855,7163,1
348,8689,1
1886,17807,1
863,6464,1
2409,11714,1
363,2939,1
363,18691,1
1389,17297,1
892,21096,1
1404,363,1
894,1517,1
1921,17807,1
390,11602,1
1930,15375,1
398,16514,1
915,20002,1
916,8910,1
1429,6464,1
408,7234,1
2462,8087,1
933,4216,1
1489,2077,1
2515,9967,1
485,18622,1
485,20002,1
1515,5151,1
1515,15376,1
492,14430,1
491,19957,1
493,17617,1
498,5577,1
1024,12674,1
16,15182,1
2073,15479,1
1054,427,1
2089,7048,1
1065,6601,1
1065,10600,1
41,6816,1
2090,11058,1
1072,3167,1
56,8868,1
56,16349,1
1596,899,1
2119,20314,1
1095,2702,1
75,5909,1
75,12400,1
1112,10800,1
1125,8267,1
1129,8643,1
632,13149,1
2188,10441,1
150,1047,1
1175,19245,1
667,7079,1
1182,10803,1
164,18937,1
168,20286,1
172,9213,1
2226,13149,1
694,20006,1
706,13187,1
199,16263,1
723,9675,1
215,6601,1
1245,9553,1
734,5991,1
2271,10991,1
1761,12647,1
1251,2073,1
231,10436,1
745,11810,1
1261,8266,1
765,15415,1
2301,1914,1
771,5517,1
1295,6405,1
1298,8455,1
790,7485,1
1818,14612,1
797,6508,1
800,12465,1
290,15478,1
290,20220,1
1320,884,1
820,6298,1
309,19291,1
323,1244,1
1348,4578,1
1351,19691,1
1353,6819,1
1367,12146,1
1370,5172,1
349,4880,1
350,5848,1
1890,4778,1
1890,10798,1
1892,19691,1
1893,11120,1
2422,8663,1
1402,20183,1
2427,1156,1
2427,1159,1
2427,1247,1
1403,21315,1
387,3169,1
1931,11214,1
909,12299,1
909,15128,1
399,713,1
1433,4349,1
922,13506,1
1953,11438,1
2475,7296,1
954,1458,1
1997,12451,1
1486,13414,1
1487,3573,1
2509,12085,1
2519,8655,1
1498,5234,1
476,2717,1
2025,13873,1
2540,11344,1
1516,888,1
1009,780,1
501,3619,1
502,11435,1
2039,7443,1
1552,9156,1
20,16837,1
23,14262,1
1561,21846,1
564,16487,1
564,16772,1
1094,10898,1
2118,20621,1
78,8607,1
597,22043,1
1636,6235,1
1636,19715,1
1648,292,1
119,9282,1
633,11029,1
1663,10771,1
644,4072,1
654,14489,1
655,14266,1
144,7970,1
145,8602,1
145,15891,1
661,2591,1
661,8607,1
1685,15391,1
1689,292,1
169,6003,1
1706,17026,1
1206,6003,1
1206,13993,1
1721,297,1
1721,17436,1
1721,17765,1
1723,17436,1
1723,17766,1
1725,20349,1
1214,10192,1
1234,11748,1
1747,15316,1
746,2741,1
236,20342,1
237,20349,1
2287,21175,1
1279,297,1
1279,17765,1
257,9990,1
779,5189,1
1294,13944,1
1294,14246,1
270,10281,1
1817,21296,1
1306,16837,1
2331,7294,1
2331,21976,1
795,20291,1
286,18626,1
1316,4506,1
2362,17735,1
322,9990,1
2375,4506,1
333,3710,1
851,12312,1
2392,15893,1
